# Logfile created on 2014-01-28 16:03:38 -0600 by logger.rb/41954
I, [2014-01-28T16:03:38.349531 #6737]  INFO -- : Executing: SELECT * FROM Cars
I, [2014-01-28T16:03:47.011646 #6741]  INFO -- : Executing: SELECT * FROM Cars
I, [2014-01-28T16:03:53.257325 #6741]  INFO -- : Executing: SELECT * FROM Projects p INNER JOIN Cars c ON c.CarID = p.CarID WHERE p.CarID = '1'
I, [2014-01-28T16:03:54.537225 #6741]  INFO -- : Executing: SELECT * FROM Parts p INNER JOIN Projects proj ON p.ProjectID = proj.ProjectID WHERE p.ProjectID = '1'
I, [2014-01-28T16:04:14.404907 #6741]  INFO -- : Executing: SELECT * FROM Cars
I, [2014-01-28T16:04:40.385423 #6745]  INFO -- : Executing: SELECT * FROM Cars
I, [2014-01-28T16:06:38.425034 #6761]  INFO -- : Executing: SELECT * FROM Cars
I, [2014-01-28T16:44:06.219406 #711]  INFO -- : Executing: SELECT * FROM Cars
I, [2014-01-28T16:44:33.847803 #711]  INFO -- : Executing: UPDATE Cars SET CarYear='2006', CarMake='Volkswagen', CarModel='Jetta', CarTrim='2.5', PurchaseMileage='105000', PurchasePrice='8500', DateOfPurchase='09/01/2012', CurrentMileage='121000', CurrentValue='5417.0' WHERE CarID='1'
I, [2014-01-28T16:44:36.999502 #711]  INFO -- : Executing: SELECT * FROM Projects p INNER JOIN Cars c ON c.CarID = p.CarID WHERE p.CarID = '1'
I, [2014-01-28T16:45:06.508468 #711]  INFO -- : Executing: INSERT INTO Projects (CarID, Title, Description, Mileage, StartDate) VALUES ('1','Burn Car','Lighting the car on fire','121000','01/30/2014')
I, [2014-01-28T16:45:06.513107 #711]  INFO -- : Executing: SELECT * FROM Projects p INNER JOIN Cars c ON c.CarID = p.CarID WHERE p.CarID = '1'
I, [2014-01-28T16:45:11.247691 #711]  INFO -- : Executing: SELECT * FROM Parts p INNER JOIN Projects proj ON p.ProjectID = proj.ProjectID WHERE p.ProjectID = '3'
I, [2014-01-28T16:45:54.310535 #711]  INFO -- : Executing: INSERT INTO Parts (CarID,ProjectID,Name,ReplacementDate,Description,Manufacturer,ModelNumber,Vendor,PurchasePrice,Warranty) VALUES ('1', '3', 'Matches', '01/29/2014', 'Fire needs spark', 'Domino', '12345', 'Kroger', '0.25', 'false')
I, [2014-01-28T16:45:54.316157 #711]  INFO -- : Executing: SELECT * FROM Parts p INNER JOIN Projects proj ON p.ProjectID = proj.ProjectID WHERE p.ProjectID = '3'
I, [2014-01-28T16:46:13.115865 #711]  INFO -- : Executing: SELECT * FROM Parts p INNER JOIN Projects proj ON p.ProjectID = proj.ProjectID WHERE p.ProjectID = '1'
I, [2014-01-28T16:46:26.661008 #711]  INFO -- : Executing: SELECT * FROM Cars
I, [2014-01-28T16:53:08.322752 #722]  INFO -- : Executing: SELECT * FROM Cars
I, [2014-01-28T16:53:11.951308 #722]  INFO -- : Executing: SELECT * FROM Cars
I, [2014-01-28T16:53:29.991502 #726]  INFO -- : Executing: SELECT * FROM Cars
I, [2014-01-28T17:00:12.484482 #733]  INFO -- : Executing: SELECT * FROM Cars
I, [2014-01-28T17:00:16.686294 #733]  INFO -- : Executing: SELECT * FROM Projects p INNER JOIN Cars c ON c.CarID = p.CarID WHERE p.CarID = '1'
I, [2014-01-28T17:01:37.716705 #737]  INFO -- : Executing: SELECT * FROM Cars
I, [2014-01-28T17:01:39.961985 #737]  INFO -- : Executing: SELECT * FROM Projects p INNER JOIN Cars c ON c.CarID = p.CarID WHERE p.CarID = '1'
I, [2014-01-28T17:01:41.506600 #737]  INFO -- : Executing: SELECT * FROM Parts p INNER JOIN Projects proj ON p.ProjectID = proj.ProjectID WHERE p.ProjectID = '1'
I, [2014-01-28T17:02:42.736335 #742]  INFO -- : Executing: SELECT * FROM Cars
I, [2014-01-28T17:02:47.609566 #742]  INFO -- : Executing: SELECT * FROM Projects p INNER JOIN Cars c ON c.CarID = p.CarID WHERE p.CarID = '1'
I, [2014-01-28T17:02:49.793680 #742]  INFO -- : Executing: SELECT * FROM Parts p INNER JOIN Projects proj ON p.ProjectID = proj.ProjectID WHERE p.ProjectID = '3'
I, [2014-01-28T17:03:39.059191 #742]  INFO -- : Executing: INSERT INTO Parts (CarID,ProjectID,Name,ReplacementDate,Description,Manufacturer,ModelNumber,Vendor,PurchasePrice,Warranty) VALUES ('1', '3', 'Gasoline', '01/29/2014', 'Flamey time', 'Exxon', '12345', 'Tiger Market', '3.04', 'false')
I, [2014-01-28T17:03:39.064245 #742]  INFO -- : Executing: SELECT * FROM Parts p INNER JOIN Projects proj ON p.ProjectID = proj.ProjectID WHERE p.ProjectID = '3'
I, [2014-01-28T17:03:55.470160 #742]  INFO -- : Executing: SELECT * FROM Cars
I, [2014-01-29T10:52:26.426505 #949]  INFO -- : Executing: SELECT Cars.* from Cars WHERE CarModel LIKE '%%' ORDER BY CarMake ASC
I, [2014-01-29T10:54:24.681309 #954]  INFO -- : Executing: SELECT Cars.* from Cars WHERE CarModel LIKE '%%' ORDER BY CarMake ASC
I, [2014-01-29T10:54:35.899278 #958]  INFO -- : Executing: SELECT Cars.* from Cars WHERE CarModel LIKE '%%' ORDER BY CarMake ASC
I, [2014-01-29T10:55:16.294556 #962]  INFO -- : Executing: SELECT Cars.* from Cars WHERE CarModel LIKE '%%' ORDER BY CarMake ASC
I, [2014-01-29T10:55:40.596298 #966]  INFO -- : Executing: SELECT Cars.* from Cars WHERE CarModel LIKE '%%' ORDER BY CarMake ASC
I, [2014-01-29T10:56:37.168470 #970]  INFO -- : Executing: SELECT Cars.* from Cars WHERE CarModel LIKE '%%' ORDER BY CarMake ASC
I, [2014-01-29T13:48:02.287868 #1504]  INFO -- : Executing: SELECT Cars.* from Cars WHERE Make LIKE '%%' ORDER BY Make ASC
I, [2014-01-29T14:12:02.071263 #1516]  INFO -- : Executing: SELECT Cars.* from Cars WHERE Make LIKE '%%' ORDER BY Make ASC
I, [2014-01-29T14:12:30.264067 #1516]  INFO -- : Executing: INSERT INTO Cars (Year, Make, Model, Trim, PurchaseMileage, PurchasePrice, PurchaseDate, CurrentValue, CurrentMileage) VALUES ('2006','Volkswagen','Jetta','2.5','105000','8500.00','09/01/2012','8500.00','105000')
I, [2014-01-29T14:12:30.272260 #1516]  INFO -- : Executing: SELECT Cars.* from Cars WHERE Make LIKE '%%' ORDER BY Make ASC
I, [2014-01-29T14:12:30.272690 #1516]  INFO -- : Executing: SELECT Cars.* from Cars WHERE Make LIKE '%%' ORDER BY Make ASC
I, [2014-01-29T14:13:15.749578 #1516]  INFO -- : Executing: UPDATE Cars SET Year='2006', Make='Volkswagen', Model='Jetta', Trim='2.5', PurchaseMileage='105000', PurchasePrice='8500.00', PurchaseDate='09/01/2012', CurrentMileage='120000', CurrentValue='5445.00' WHERE ID='1'
I, [2014-01-29T14:13:15.754265 #1516]  INFO -- : Executing: UPDATE Cars SET Year='2006', Make='Volkswagen', Model='Jetta', Trim='2.5', PurchaseMileage='105000', PurchasePrice='8500.00', PurchaseDate='09/01/2012', CurrentMileage='120000', CurrentValue='5445.00' WHERE ID='1'
I, [2014-01-29T14:13:20.221250 #1516]  INFO -- : Executing: SELECT * FROM Projects p INNER JOIN Cars c ON c.ID = p.CarID WHERE c.ID = '1'
I, [2014-01-29T14:13:27.124161 #1516]  INFO -- : Executing: SELECT * FROM Parts p INNER JOIN Projects proj ON proj.ID = p.ProjectID WHERE proj.ID = '1'
I, [2014-01-29T14:14:34.325140 #1524]  INFO -- : Executing: SELECT Cars.* from Cars WHERE Make LIKE '%%' ORDER BY Make ASC
I, [2014-01-29T14:14:38.105016 #1524]  INFO -- : Executing: SELECT * FROM Projects p INNER JOIN Cars c ON c.ID = p.CarID WHERE c.ID = '1'
I, [2014-01-29T14:15:05.694504 #1524]  INFO -- : Executing: INSERT INTO Projects (CarID, Title, Description, Mileage, StartDate) VALUES ('1','Burn Car','Gotta set this car on fire','121000','01/29/2014')
